time,x,theta,vx,vtheta,force
0.000000,0.000000,-0.132743,0.000000,0.000000,-13.203359
0.020000,-0.004944,-0.126171,-0.247197,0.328582,-2.320548
0.040000,-0.010701,-0.119131,-0.287833,0.352018,-0.906931
0.060000,-0.016737,-0.112374,-0.301800,0.337843,-0.693574
0.080000,-0.022974,-0.105976,-0.311894,0.319886,-0.632991
0.100000,-0.029395,-0.099929,-0.321009,0.302351,-0.593296
0.120000,-0.035985,-0.094215,-0.329533,0.285713,-0.557940
0.140000,-0.042736,-0.088815,-0.337539,0.269984,-0.524781
0.160000,-0.049637,-0.083713,-0.345063,0.255120,-0.493468
0.180000,-0.056680,-0.078891,-0.352130,0.241076,-0.463872
0.200000,-0.063855,-0.074335,-0.358767,0.227807,-0.435895
0.220000,-0.071155,-0.070030,-0.364996,0.215268,-0.409450
0.240000,-0.078572,-0.065961,-0.370841,0.203421,-0.384452
0.260000,-0.086098,-0.062117,-0.376322,0.192227,-0.360824
0.280000,-0.093728,-0.058484,-0.381460,0.181649,-0.338490
0.300000,-0.101453,-0.055051,-0.386273,0.171655,-0.317379
0.320000,-0.109269,-0.051806,-0.390780,0.162211,-0.297425
0.340000,-0.117169,-0.048741,-0.394996,0.153288,-0.278564
0.360000,-0.125147,-0.045843,-0.398939,0.144857,-0.260736
0.380000,-0.133200,-0.043106,-0.402623,0.136890,-0.243886
0.400000,-0.141321,-0.040518,-0.406063,0.129362,-0.227959
0.420000,-0.149507,-0.038073,-0.409271,0.122249,-0.212904
0.440000,-0.157752,-0.035763,-0.412260,0.115528,-0.198674
0.460000,-0.166053,-0.033579,-0.415044,0.109178,-0.185224
0.480000,-0.174405,-0.031516,-0.417632,0.103177,-0.172510
0.500000,-0.182806,-0.029566,-0.420035,0.097507,-0.160493
0.520000,-0.191251,-0.027723,-0.422264,0.092149,-0.149133
0.540000,-0.199738,-0.025981,-0.424328,0.087086,-0.138396
0.560000,-0.208263,-0.024335,-0.426237,0.082303,-0.128246
0.580000,-0.216823,-0.022779,-0.427998,0.077783,-0.118651
0.600000,-0.225415,-0.021309,-0.429620,0.073511,-0.109582
0.620000,-0.234037,-0.019919,-0.431110,0.069476,-0.101008
0.640000,-0.242687,-0.018606,-0.432476,0.065662,-0.092903
0.660000,-0.251361,-0.017365,-0.433724,0.062059,-0.085241
0.680000,-0.260058,-0.016192,-0.434861,0.058654,-0.077997
0.700000,-0.268776,-0.015083,-0.435893,0.055437,-0.071149
0.720000,-0.277513,-0.014035,-0.436826,0.052396,-0.064675
0.740000,-0.286266,-0.013045,-0.437665,0.049524,-0.058554
0.760000,-0.295034,-0.012109,-0.438414,0.046809,-0.052766
0.780000,-0.303816,-0.011224,-0.439080,0.044244,-0.047295
0.800000,-0.312609,-0.010387,-0.439666,0.041821,-0.042121
0.820000,-0.321413,-0.009597,-0.440178,0.039531,-0.037229
0.840000,-0.330225,-0.008849,-0.440618,0.037367,-0.032603
0.860000,-0.339045,-0.008143,-0.440991,0.035322,-0.028228
0.880000,-0.347871,-0.007475,-0.441300,0.033390,-0.024091
0.900000,-0.356702,-0.006844,-0.441550,0.031564,-0.020179
0.920000,-0.365537,-0.006247,-0.441742,0.029838,-0.016479
0.940000,-0.374374,-0.005683,-0.441881,0.028208,-0.012980
0.960000,-0.383214,-0.005150,-0.441969,0.026668,-0.009670
0.980000,-0.392054,-0.004645,-0.442009,0.025212,-0.006539
1.000000,-0.400894,-0.004169,-0.442003,0.023836,-0.003578
1.020000,-0.409733,-0.003718,-0.441955,0.022536,-0.000776
1.040000,-0.418570,-0.003292,-0.441865,0.021308,0.001874
1.060000,-0.427405,-0.002889,-0.441737,0.020147,0.004381
1.080000,-0.436237,-0.002508,-0.441573,0.019051,0.006754
1.100000,-0.445064,-0.002148,-0.441374,0.018014,0.008999
1.120000,-0.453887,-0.001807,-0.441142,0.017035,0.011123
1.140000,-0.462705,-0.001485,-0.440880,0.016109,0.013133
1.159999,-0.471516,-0.001180,-0.440588,0.015235,0.015036
1.179999,-0.480322,-0.000892,-0.440268,0.014408,0.016837
1.199999,-0.489120,-0.000619,-0.439923,0.013627,0.018541
1.219999,-0.497911,-0.000361,-0.439552,0.012889,0.020155
1.239999,-0.506694,-0.000118,-0.439158,0.012192,0.021683
1.259999,-0.515469,0.000113,-0.438742,0.011533,0.023130
1.279999,-0.524235,0.000331,-0.438305,0.010910,0.024500
1.299999,-0.532992,0.000538,-0.437847,0.010321,0.025797
1.319999,-0.541740,0.000733,-0.437371,0.009765,0.027026
1.339999,-0.550477,0.000918,-0.436877,0.009239,0.028190
1.359999,-0.559204,0.001093,-0.436365,0.008743,0.029293
1.379999,-0.567921,0.001258,-0.435838,0.008273,0.030338
1.399999,-0.576627,0.001415,-0.435295,0.007830,0.031328
1.419999,-0.585322,0.001563,-0.434738,0.007410,0.032267
1.439999,-0.594005,0.001703,-0.434168,0.007014,0.033157
1.459999,-0.602677,0.001836,-0.433584,0.006640,0.034000
1.479999,-0.611337,0.001962,-0.432988,0.006286,0.034800
1.499999,-0.619984,0.002081,-0.432380,0.005951,0.035558
1.519999,-0.628620,0.002193,-0.431761,0.005635,0.036278
1.539999,-0.637242,0.002300,-0.431131,0.005336,0.036961
1.559999,-0.645852,0.002401,-0.430492,0.005054,0.037609
1.579999,-0.654449,0.002497,-0.429843,0.004787,0.038223
1.599999,-0.663033,0.002588,-0.429185,0.004535,0.038807
1.619999,-0.671603,0.002674,-0.428518,0.004296,0.039361
1.639999,-0.680160,0.002755,-0.427843,0.004071,0.039888
1.659999,-0.688703,0.002832,-0.427161,0.003858,0.040388
1.679999,-0.697232,0.002905,-0.426471,0.003657,0.040863
1.699999,-0.705748,0.002975,-0.425774,0.003466,0.041314
1.719999,-0.714249,0.003040,-0.425070,0.003286,0.041743
1.739999,-0.722736,0.003103,-0.424360,0.003116,0.042152
1.759999,-0.731209,0.003162,-0.423644,0.002955,0.042540
1.779999,-0.739668,0.003218,-0.422923,0.002803,0.042909
1.799999,-0.748112,0.003271,-0.422196,0.002660,0.043261
1.819999,-0.756541,0.003321,-0.421463,0.002524,0.043596
1.839999,-0.764955,0.003369,-0.420726,0.002396,0.043914
1.859999,-0.773355,0.003415,-0.419984,0.002274,0.044218
1.879999,-0.781740,0.003458,-0.419237,0.002159,0.044508
1.899999,-0.790110,0.003499,-0.418487,0.002051,0.044784
1.919999,-0.798464,0.003538,-0.417732,0.001948,0.045047
1.939999,-0.806804,0.003575,-0.416973,0.001851,0.045298
1.959999,-0.815128,0.003610,-0.416210,0.001759,0.045538
1.979999,-0.823437,0.003644,-0.415444,0.001673,0.045767
1.999999,-0.831730,0.003676,-0.414674,0.001590,0.045985
2.019999,-0.840008,0.003706,-0.413901,0.001513,0.046194
2.039999,-0.848271,0.003735,-0.413125,0.001439,0.046394
2.059999,-0.856518,0.003762,-0.412346,0.001370,0.046585
2.079999,-0.864749,0.003788,-0.411564,0.001304,0.046768
2.099999,-0.872965,0.003813,-0.410780,0.001242,0.046943
2.119999,-0.881164,0.003837,-0.409993,0.001183,0.047111
2.139999,-0.889349,0.003859,-0.409203,0.001128,0.047271
2.159999,-0.897517,0.003881,-0.408410,0.001075,0.047426
2.179999,-0.905669,0.003901,-0.407616,0.001025,0.047573
2.199999,-0.913805,0.003921,-0.406819,0.000978,0.047715
2.219999,-0.921926,0.003939,-0.406020,0.000934,0.047852
